항목,내용 ,공개
이메일 계정은 어떻게 생성하나요?,일반적으로 신규 입사 시 IT 부서 또는 시스템 관리자에 의해 자동으로 생성됩니다. 계정 정보는 별도로 안내해 드립니다.,Y
비밀번호를 잊어버렸습니다.,"비밀번호 찾기 기능이 제공될 수 있습니다. 로그인 화면에서 ""비밀번호 찾기"" 또는 이와 유사한 링크를 클릭하여 안내에 따라 진행해 주세요. 만약 어려움이 있다면 IT 부서 또는 시스템 관리자에게 문의해 주시기 바랍니다.",Y
"메일 용량이 부족하다는 메시지가 뜹니다.
",불필요한 메일을 삭제하거나 개인 보관함으로 이동하여 용량을 확보해 주세요. 중요한 메일은 개인 PC에 백업하는 것을 권장합니다. 용량 추가가 필요하다면 IT 부서 또는 시스템 관리자에게 문의해 주십시오.,Y
"외부 메일 계정 (Gmail, Naver 등)을 그룹웨어 메일로 연동할 수 있나요?",시스템 설정에 따라 가능 여부가 다릅니다. IT 부서 또는 시스템 관리자에게 문의하여 연동 가능 여부 및 방법을 확인해 주세요.,Y
특정 수신인에게 메일이 발송되지 않는 것 같습니다. 어떻게 확인해야 하나요?,"먼저 수신인의 이메일 주소가 정확한지 확인해 주세요. 또한, 발송함 또는 보낸 편지함에서 해당 메일이 정상적으로 발송되었는지 확인하고, 스팸 메일함도 확인해 보시기 바랍니다. 문제가 지속되면 IT 부서 또는 시스템 관리자에게 문의해 주세요.",Y
결재 문서는 어떻게 작성하나요?,"그룹웨어 내 전자결재 메뉴에서 ""새 결재"" 또는 이와 유사한 버튼을 클릭하여 결재 양식을 선택하고 내용을 작성하시면 됩니다. 필요한 첨부 파일이 있다면 함께 첨부해 주세요.",Y
결재 진행 상황은 어떻게 확인할 수 있나요?,"전자결재 메뉴의 ""결재함"" 또는 ""진행 중인 결재""에서 본인이 상신하거나 결재해야 할 문서의 진행 상황을 확인할 수 있습니다.",Y
결재를 반려해야 할 경우 어떻게 해야 하나요?,"해당 결재 문서 상세 화면에서 ""반려"" 버튼을 클릭하고 반려 사유를 명확하게 작성하여 결재를 진행하시면 됩니다.",Y
이미 결재된 문서를 수정할 수 있나요?,"원칙적으로 결재가 완료된 문서는 수정할 수 없습니다. 필요한 경우 결재 취소 후 재상신하거나, 관련 부서와 협의하여 별도의 절차를 진행해야 할 수 있습니다.",Y
휴가 신청은 어떻게 하나요?,"전자결재 메뉴에서 휴가 신청 양식을 선택하고, 휴가 기간 및 사유 등을 작성하여 결재를 상신하시면 됩니다.",Y
